SYNGENE
DMART
ABB
MUTHOOTFIN
HINDUNILVR
NESTLEIND
TATACONSUM
VBL
SWIGGY
MARICO
IEX
RELIANCE
NHPC
BHARTIARTL
BRITANNIA
IREDA
ADANIENSOL
TRENT
ITC
